,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
234,353,MDH1,ENSG00000014641,0.0,1.0,1.0,5,0
235,354,SLC30A9,ENSG00000014824,0.0,1.0,1.0,8,0
236,355,MTMR11,ENSG00000014914,0.0,1.0,1.0,3,0
237,356,COX15,ENSG00000014919,0.0,1.0,1.0,6,0
238,357,CCDC88C,ENSG00000015133,0.0,1.0,1.0,18,0
239,358,YAF2,ENSG00000015153,0.0,1.0,1.0,4,0
240,359,ZMYND11,ENSG00000015171,0.0,1.0,1.0,3,0
241,360,WAS,ENSG00000015285,0.0,1.0,1.0,29,0
242,362,BID,ENSG00000015475,0.0,1.0,1.0,25,0
243,363,MATR3,ENSG00000015479,0.0,1.0,1.0,24,0
244,365,XYLT2,ENSG00000015532,0.0,1.0,1.0,3,0
245,366,RGPD5,ENSG00000015568,0.0,1.0,1.0,4,0
246,368,NUDCD3,ENSG00000015676,0.0,1.0,1.0,1,0
247,374,GLT8D1,ENSG00000016864,0.0,1.0,1.0,6,0
248,375,ATP2C1,ENSG00000017260,0.0,1.0,1.0,4,0
249,377,SLC38A5,ENSG00000017483,0.0,1.0,1.0,1,0
250,378,RALBP1,ENSG00000017797,0.0,1.0,1.0,25,0
251,379,RUFY3,ENSG00000018189,0.0,1.0,1.0,1,0
252,380,CNTN1,ENSG00000018236,0.0,1.0,1.0,1,0
253,381,SLC11A1,ENSG00000018280,0.0,1.0,1.0,45,0
254,382,WWTR1,ENSG00000018408,0.0,1.0,1.0,3,0
255,383,AGPS,ENSG00000018510,0.0,1.0,1.0,12,0
256,384,STEEP1,ENSG00000018610,0.0,1.0,1.0,7,0
257,386,TTC27,ENSG00000018699,0.0,1.0,1.0,1,0
258,390,MARCO,ENSG00000019169,0.0,1.0,1.0,10,0
259,391,CYP24A1,ENSG00000019186,0.0,1.0,1.0,1,0
260,395,CD74,ENSG00000019582,0.0,1.0,1.0,72,0
261,396,HGF,ENSG00000019991,0.0,1.0,1.0,4,0
262,397,ZRANB1,ENSG00000019995,0.0,1.0,1.0,9,0
263,398,NCDN,ENSG00000020129,0.0,1.0,1.0,2,0
264,401,MNAT1,ENSG00000020426,0.0,1.0,1.0,2,0
265,402,SAMD4A,ENSG00000020577,0.0,1.0,1.0,4,0
266,403,RUNX3,ENSG00000020633,0.0,1.0,1.0,8,0
267,404,MRE11,ENSG00000020922,0.0,1.0,1.0,2,0
268,406,SERPINB1,ENSG00000021355,0.0,1.0,1.0,64,0
269,409,SPAST,ENSG00000021574,0.0,1.0,1.0,6,0
270,411,OSBPL5,ENSG00000021762,0.0,1.0,1.0,3,0
271,412,AQR,ENSG00000021776,0.0,1.0,1.0,7,0
272,415,FHL1,ENSG00000022267,0.0,1.0,1.0,1,0
273,416,RTF2,ENSG00000022277,0.0,1.0,1.0,11,0
274,418,NLRP2,ENSG00000022556,0.0,1.0,1.0,2,0
275,419,SLC45A4,ENSG00000022567,0.0,1.0,1.0,3,0
276,420,RNF10,ENSG00000022840,0.0,1.0,1.0,24,0
277,421,ZNF839,ENSG00000022976,0.0,1.0,1.0,1,0
278,422,ZDHHC6,ENSG00000023041,0.0,1.0,1.0,9,0
279,424,RNH1,ENSG00000023191,0.0,1.0,1.0,35,0
280,425,NDUFS1,ENSG00000023228,0.0,1.0,1.0,13,0
281,426,RB1CC1,ENSG00000023287,0.0,1.0,1.0,18,0
282,427,ERP44,ENSG00000023318,0.0,1.0,1.0,10,0
283,428,ALAS1,ENSG00000023330,0.0,1.0,1.0,4,0
284,429,BIRC3,ENSG00000023445,0.0,1.0,1.0,8,0
285,430,AKAP11,ENSG00000023516,0.0,1.0,1.0,15,0
286,431,GLRX2,ENSG00000023572,0.0,1.0,1.0,1,0
287,432,SNAPC1,ENSG00000023608,0.0,1.0,1.0,1,0
288,433,DERA,ENSG00000023697,0.0,1.0,1.0,6,0
289,434,STRAP,ENSG00000023734,0.0,1.0,1.0,8,0
290,435,ABCC2,ENSG00000023839,0.0,1.0,1.0,1,0
291,436,DEF6,ENSG00000023892,0.0,1.0,1.0,6,0
292,437,PLEKHO1,ENSG00000023902,0.0,1.0,1.0,42,0
293,438,GCLM,ENSG00000023909,0.0,1.0,1.0,6,0
294,439,UBR2,ENSG00000024048,0.0,1.0,1.0,15,0
295,441,DEPDC1,ENSG00000024526,0.0,1.0,1.0,1,0
296,442,CCDC28A,ENSG00000024862,0.0,1.0,1.0,5,0
297,443,RRAGD,ENSG00000025039,0.0,1.0,1.0,3,0
298,444,HSF2,ENSG00000025156,0.0,1.0,1.0,2,0
299,445,PHF20,ENSG00000025293,0.0,1.0,1.0,17,0
300,448,TYMP,ENSG00000025708,0.0,1.0,1.0,80,0
301,449,NCAPH2,ENSG00000025770,0.0,1.0,1.0,1,0
302,450,TOMM34,ENSG00000025772,0.0,1.0,1.0,1,0
303,451,SEC63,ENSG00000025796,0.0,1.0,1.0,16,0
304,452,KPNA6,ENSG00000025800,0.0,1.0,1.0,14,0
305,453,VIM,ENSG00000026025,0.0,1.0,1.0,85,0
306,454,RTEL1-TNFRSF6B,ENSG00000026036,0.0,1.0,1.0,1,0
307,455,FAS,ENSG00000026103,0.0,1.0,1.0,12,0
308,456,RNASET2,ENSG00000026297,0.0,1.0,1.0,34,0
309,457,CD44,ENSG00000026508,0.0,1.0,1.0,63,0
310,459,AGPAT4,ENSG00000026652,0.0,1.0,1.0,2,0
311,460,SLAMF7,ENSG00000026751,0.0,1.0,1.0,16,0
312,461,BTN3A1,ENSG00000026950,0.0,1.0,1.0,12,0
313,462,MIPEP,ENSG00000027001,0.0,1.0,1.0,2,0
314,463,PRKCH,ENSG00000027075,0.0,1.0,1.0,6,0
315,465,IFNGR1,ENSG00000027697,0.0,1.0,1.0,38,0
316,466,B4GALT7,ENSG00000027847,0.0,1.0,1.0,3,0
317,467,SH2D2A,ENSG00000027869,0.0,1.0,1.0,2,0
318,468,VRK2,ENSG00000028116,0.0,1.0,1.0,6,0
319,469,TNFRSF1B,ENSG00000028137,0.0,1.0,1.0,69,0
320,470,VEZT,ENSG00000028203,0.0,1.0,1.0,4,0
321,471,POU2F2,ENSG00000028277,0.0,1.0,1.0,42,0
322,472,BRD9,ENSG00000028310,0.0,1.0,1.0,9,0
323,473,SNX1,ENSG00000028528,0.0,1.0,1.0,13,0
324,474,TBPL1,ENSG00000028839,0.0,1.0,1.0,4,0
325,476,BCLAF1,ENSG00000029363,0.0,1.0,1.0,30,0
326,477,SLC39A9,ENSG00000029364,0.0,1.0,1.0,4,0
327,480,TFB1M,ENSG00000029639,0.0,1.0,1.0,1,0
328,481,RABEP1,ENSG00000029725,0.0,1.0,1.0,10,0
329,482,HMGB3,ENSG00000029993,0.0,1.0,1.0,2,0
330,483,NUP160,ENSG00000030066,0.0,1.0,1.0,1,0
331,484,BAK1,ENSG00000030110,0.0,1.0,1.0,1,0
332,486,IKZF2,ENSG00000030419,0.0,1.0,1.0,2,0
333,487,GRN,ENSG00000030582,0.0,1.0,1.0,83,0
334,488,FAM13B,ENSG00000031003,0.0,1.0,1.0,10,0
335,489,ARHGAP31,ENSG00000031081,0.0,1.0,1.0,7,0
336,491,SARS1,ENSG00000031698,0.0,1.0,1.0,18,0
337,492,RANBP3,ENSG00000031823,0.0,1.0,1.0,8,0
338,493,ARID4A,ENSG00000032219,0.0,1.0,1.0,11,0
339,494,EIPR1,ENSG00000032389,0.0,1.0,1.0,2,0
340,495,PNPLA6,ENSG00000032444,0.0,1.0,1.0,15,0
341,496,IFT88,ENSG00000032742,0.0,1.0,1.0,2,0
342,498,ZCCHC8,ENSG00000033030,0.0,1.0,1.0,8,0
343,499,ABCF2,ENSG00000033050,0.0,1.0,1.0,8,0
344,500,CHPF2,ENSG00000033100,0.0,1.0,1.0,11,0
345,502,FUT8,ENSG00000033170,0.0,1.0,1.0,1,0
346,503,UBA6,ENSG00000033178,0.0,1.0,1.0,11,0
347,504,GAB2,ENSG00000033327,0.0,1.0,1.0,13,0
348,505,ATP6V0A1,ENSG00000033627,0.0,1.0,1.0,13,0
